# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   36.57657658    0.00172251
   36.68668669    0.00169247
   36.79679680    0.00166370
   36.90690691    0.00163562
   37.01701702    0.00160776
   37.12712713    0.00158000
   37.23723724    0.00155281
   37.34734735    0.00152716
   37.45745746    0.00150422
   37.56756757    0.00148472
   37.67767768    0.00146845
   37.78778779    0.00145414
   37.89789790    0.00143979
   38.00800801    0.00142343
   38.11811812    0.00140395
   38.22822823    0.00138154
   38.33833834    0.00135755
   38.44844845    0.00133378
   38.55855856    0.00131168
   38.66866867    0.00129183
   38.77877878    0.00127381
   38.88888889    0.00125644
   38.99899900    0.00123830
   39.10910911    0.00121826
   39.21921922    0.00119591
   39.32932933    0.00117175
   39.43943944    0.00114696
   39.54954955    0.00112291
   39.65965966    0.00110055
   39.76976977    0.00108000
   39.87987988    0.00106047
   39.98998999    0.00104066
   40.10010010    0.00101939
   40.21021021    0.00099620
   40.32032032    0.00097154
   40.43043043    0.00094652
   40.54054054    0.00092254
   40.65065065    0.00090091
   40.76076076    0.00088260
   40.87087087    0.00086811
   40.98098098    0.00085732
   41.09109109    0.00084958
   41.20120120    0.00084388
   41.31131131    0.00083927
   41.42142142    0.00083516
   41.53153153    0.00083143
   41.64164164    0.00082822
   41.75175175    0.00082559
   41.86186186    0.00082329
   41.97197197    0.00082080
   42.08208208    0.00081755
   42.19219219    0.00081310
   42.30230230    0.00080722
   42.41241241    0.00079985
   42.52252252    0.00079120
   42.63263263    0.00078167
   42.74274274    0.00077176
   42.85285285    0.00076184
   42.96296296    0.00075207
   43.07307307    0.00074236
   43.18318318    0.00073254
   43.29329329    0.00072261
   43.40340340    0.00071288
   43.51351351    0.00070393
   43.62362362    0.00069649
   43.73373373    0.00069116
   43.84384384    0.00068814
   43.95395395    0.00068712
   44.06406406    0.00068724
   44.17417417    0.00068727
   44.28428428    0.00068588
   44.39439439    0.00068195
   44.50450450    0.00067476
   44.61461461    0.00066404
   44.72472472    0.00064996
   44.83483483    0.00063305
   44.94494494    0.00061424
   45.05505506    0.00059467
   45.16516517    0.00057565
