# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   46.57657658    0.00718529
   46.66666667    0.00675907
   46.75675676    0.00616417
   46.84684685    0.00551053
   46.93693694    0.00488687
   47.02702703    0.00433955
   47.11711712    0.00388166
   47.20720721    0.00350849
   47.29729730    0.00320865
   47.38738739    0.00296977
   47.47747748    0.00278083
   47.56756757    0.00263281
   47.65765766    0.00251869
   47.74774775    0.00243310
   47.83783784    0.00237206
   47.92792793    0.00233274
   48.01801802    0.00231320
   48.10810811    0.00231229
   48.19819820    0.00232954
   48.28828829    0.00236511
   48.37837838    0.00241980
   48.46846847    0.00249510
   48.55855856    0.00259322
   48.64864865    0.00271731
   48.73873874    0.00287160
   48.82882883    0.00306166
   48.91891892    0.00329478
   49.00900901    0.00358031
   49.09909910    0.00393002
   49.18918919    0.00435823
   49.27927928    0.00488107
   49.36936937    0.00551411
   49.45945946    0.00626663
   49.54954955    0.00713122
   49.63963964    0.00806936
   49.72972973    0.00900095
   49.81981982    0.00981625
   49.90990991    0.01042932
   50.00000000    0.01084948
   50.09009009    0.01119734
   50.18018018    0.01164126
   50.27027027    0.01231824
   50.36036036    0.01328822
   50.45045045    0.01450800
   50.54054054    0.01580613
   50.63063063    0.01688831
   50.72072072    0.01744032
   50.81081081    0.01731944
   50.90090090    0.01666431
   50.99099099    0.01578998
   51.08108108    0.01498448
   51.17117117    0.01438302
   51.26126126    0.01394688
   51.35135135    0.01350741
   51.44144144    0.01286704
   51.53153153    0.01192955
   51.62162162    0.01075891
   51.71171171    0.00951262
   51.80180180    0.00833584
   51.89189189    0.00731108
   51.98198198    0.00646464
   52.07207207    0.00579091
   52.16216216    0.00527149
   52.25225225    0.00488475
   52.34234234    0.00460795
   52.43243243    0.00441482
   52.52252252    0.00427146
   52.61261261    0.00413678
   52.70270270    0.00397387
   52.79279279    0.00376785
   52.88288288    0.00353215
   52.97297297    0.00329486
   53.06306306    0.00308098
   53.15315315    0.00290489
   53.24324324    0.00277213
   53.33333333    0.00268364
   53.42342342    0.00263914
   53.51351351    0.00263878
   53.60360360    0.00268359
   53.69369369    0.00277480
   53.78378378    0.00291138
   53.87387387    0.00308552
   53.96396396    0.00327590
   54.05405405    0.00344336
   54.14414414    0.00353863
   54.23423423    0.00352740
   54.32432432    0.00341490
   54.41441441    0.00324240
   54.50450450    0.00306006
   54.59459459    0.00290500
   54.68468468    0.00279710
   54.77477477    0.00274442
   54.86486486    0.00274921
   54.95495495    0.00281102
   55.04504505    0.00292633
   55.13513514    0.00308502
   55.22522523    0.00326481
   55.31531532    0.00342860
   55.40540541    0.00353381
   55.49549550    0.00355599
   55.58558559    0.00350748
   55.67567568    0.00342937
   55.76576577    0.00336606
   55.85585586    0.00334728
   55.94594595    0.00338399
   56.03603604    0.00347072
   56.12612613    0.00358990
   56.21621622    0.00372123
   56.30630631    0.00385672
   56.39639640    0.00401032
   56.48648649    0.00421089
   56.57657658    0.00448425
   56.66666667    0.00483590
   56.75675676    0.00523689
   56.84684685    0.00561393
   56.93693694    0.00585892
   57.02702703    0.00587573
   57.11711712    0.00564200
   57.20720721    0.00522305
   57.29729730    0.00472252
   57.38738739    0.00422701
   57.47747748    0.00378573
   57.56756757    0.00341686
   57.65765766    0.00312047
   57.74774775    0.00288868
   57.83783784    0.00271149
   57.92792793    0.00257950
   58.01801802    0.00248485
   58.10810811    0.00242134
   58.19819820    0.00238427
   58.28828829    0.00237020
   58.37837838    0.00237672
   58.46846847    0.00240225
   58.55855856    0.00244590
   58.64864865    0.00250738
   58.73873874    0.00258695
   58.82882883    0.00268539
   58.91891892    0.00280400
   59.00900901    0.00294463
   59.09909910    0.00310978
   59.18918919    0.00330267
   59.27927928    0.00352737
   59.36936937    0.00378904
   59.45945946    0.00409415
   59.54954955    0.00445082
   59.63963964    0.00486925
   59.72972973    0.00536230
   59.81981982    0.00594625
   59.90990991    0.00664177
   60.00000000    0.00747548
   60.09009009    0.00848198
   60.18018018    0.00970621
   60.27027027    0.01120555
   60.36036036    0.01305092
   60.45045045    0.01532494
   60.54054054    0.01811263
   60.63063063    0.02147549
   60.72072072    0.02539656
   60.81081081    0.02969146
   60.90090090    0.03392137
   60.99099099    0.03741694
   61.08108108    0.03951826
   61.17117117    0.03991803
   61.26126126    0.03878945
   61.35135135    0.03657421
   61.44144144    0.03366948
   61.53153153    0.03031605
   61.62162162    0.02671045
   61.71171171    0.02310094
   61.80180180    0.01973576
   61.89189189    0.01677450
   61.98198198    0.01426815
   62.07207207    0.01219315
   62.16216216    0.01049198
   62.25225225    0.00909983
   62.34234234    0.00795722
   62.43243243    0.00701419
   62.52252252    0.00623054
   62.61261261    0.00557453
   62.70270270    0.00502133
   62.79279279    0.00455148
   62.88288288    0.00414974
   62.97297297    0.00380404
   63.06306306    0.00350485
   63.15315315    0.00324452
   63.24324324    0.00301691
   63.33333333    0.00281704
   63.42342342    0.00264085
   63.51351351    0.00248504
   63.60360360    0.00234687
   63.69369369    0.00222410
   63.78378378    0.00211487
   63.87387387    0.00201766
   63.96396396    0.00193122
   64.05405405    0.00185452
   64.14414414    0.00178671
   64.23423423    0.00172705
   64.32432432    0.00167474
   64.41441441    0.00162877
   64.50450450    0.00158770
   64.59459459    0.00154964
   64.68468468    0.00151274
   64.77477477    0.00147600
   64.86486486    0.00143980
   64.95495495    0.00140536
   65.04504505    0.00137390
   65.13513514    0.00134610
   65.22522523    0.00132218
   65.31531532    0.00130203
   65.40540541    0.00128543
   65.49549550    0.00127215
   65.58558559    0.00126199
   65.67567568    0.00125478
   65.76576577    0.00125040
   65.85585586    0.00124879
   65.94594595    0.00124989
   66.03603604    0.00125370
   66.12612613    0.00126027
   66.21621622    0.00126964
   66.30630631    0.00128193
   66.39639640    0.00129726
   66.48648649    0.00131580
   66.57657658    0.00133777
   66.66666667    0.00136345
   66.75675676    0.00139314
   66.84684685    0.00142725
   66.93693694    0.00146625
   67.02702703    0.00151071
   67.11711712    0.00156133
   67.20720721    0.00161894
   67.29729730    0.00168457
   67.38738739    0.00175944
   67.47747748    0.00184506
   67.56756757    0.00194318
   67.65765766    0.00205582
   67.74774775    0.00218524
   67.83783784    0.00233398
   67.92792793    0.00250515
   68.01801802    0.00270318
   68.10810811    0.00293484
   68.19819820    0.00320955
   68.28828829    0.00353904
   68.37837838    0.00393656
   68.46846847    0.00441537
   68.55855856    0.00498515
   68.64864865    0.00564424
   68.73873874    0.00636660
   68.82882883    0.00708883
   68.91891892    0.00771510
   69.00900901    0.00816021
   69.09909910    0.00841247
   69.18918919    0.00855224
   69.27927928    0.00870176
   69.36936937    0.00896071
   69.45945946    0.00937489
   69.54954955    0.00993486
   69.63963964    0.01058757
   69.72972973    0.01125072
   69.81981982    0.01182544
   69.90990991    0.01222178
   70.00000000    0.01241376
   70.09009009    0.01248109
   70.18018018    0.01257935
   70.27027027    0.01286960
   70.36036036    0.01347689
   70.45045045    0.01449104
   70.54054054    0.01598160
   70.63063063    0.01800330
   70.72072072    0.02057970
   70.81081081    0.02365877
   70.90090090    0.02704490
   70.99099099    0.03034088
   71.08108108    0.03297118
   71.17117117    0.03434478
   71.26126126    0.03409985
   71.35135135    0.03226760
   71.44144144    0.02925293
   71.53153153    0.02565382
   71.62162162    0.02202349
   71.71171171    0.01871921
   71.80180180    0.01589306
   71.89189189    0.01356068
   71.98198198    0.01167274
   72.07207207    0.01016032
   72.16216216    0.00895679
   72.25225225    0.00800557
   72.34234234    0.00726086
   72.43243243    0.00668499
   72.52252252    0.00624396
   72.61261261    0.00590311
   72.70270270    0.00562656
   72.79279279    0.00538443
   72.88288288    0.00516344
   72.97297297    0.00496742
   73.06306306    0.00480280
   73.15315315    0.00466142
   73.24324324    0.00451519
   73.33333333    0.00432880
   73.42342342    0.00408389
   73.51351351    0.00379253
   73.60360360    0.00348612
   73.69369369    0.00319448
   73.78378378    0.00293502
   73.87387387    0.00271355
   73.96396396    0.00252907
   74.05405405    0.00237786
   74.14414414    0.00225570
   74.23423423    0.00215882
   74.32432432    0.00208416
   74.41441441    0.00202907
   74.50450450    0.00199083
   74.59459459    0.00196588
   74.68468468    0.00194940
   74.77477477    0.00193628
   74.86486486    0.00192363
   74.95495495    0.00191299
   75.04504505    0.00190956
