# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   75.44544545    0.00007010
   75.55555556    0.00007126
   75.66566567    0.00007245
   75.77577578    0.00007370
   75.88588589    0.00007503
   75.99599600    0.00007643
   76.10610611    0.00007787
   76.21621622    0.00007933
   76.32632633    0.00008076
   76.43643644    0.00008213
   76.54654655    0.00008345
   76.65665666    0.00008470
   76.76676677    0.00008594
   76.87687688    0.00008720
   76.98698699    0.00008852
   77.09709710    0.00008994
   77.20720721    0.00009150
   77.31731732    0.00009321
   77.42742743    0.00009506
   77.53753754    0.00009704
   77.64764765    0.00009914
   77.75775776    0.00010133
   77.86786787    0.00010358
   77.97797798    0.00010591
   78.08808809    0.00010832
   78.19819820    0.00011087
   78.30830831    0.00011361
   78.41841842    0.00011661
   78.52852853    0.00011991
   78.63863864    0.00012351
   78.74874875    0.00012734
   78.85885886    0.00013129
   78.96896897    0.00013521
   79.07907908    0.00013896
   79.18918919    0.00014241
   79.29929930    0.00014551
   79.40940941    0.00014826
   79.51951952    0.00015074
   79.62962963    0.00015308
   79.73973974    0.00015541
   79.84984985    0.00015786
   79.95995996    0.00016052
   80.07007007    0.00016337
   80.18018018    0.00016634
   80.29029029    0.00016924
   80.40040040    0.00017186
   80.51051051    0.00017394
   80.62062062    0.00017533
   80.73073073    0.00017598
   80.84084084    0.00017600
   80.95095095    0.00017562
   81.06106106    0.00017515
   81.17117117    0.00017491
   81.28128128    0.00017516
   81.39139139    0.00017603
   81.50150150    0.00017757
   81.61161161    0.00017969
   81.72172172    0.00018225
   81.83183183    0.00018504
   81.94194194    0.00018790
   82.05205205    0.00019075
   82.16216216    0.00019356
   82.27227227    0.00019640
   82.38238238    0.00019937
   82.49249249    0.00020256
   82.60260260    0.00020608
   82.71271271    0.00020994
   82.82282282    0.00021413
   82.93293293    0.00021857
   83.04304304    0.00022316
   83.15315315    0.00022781
   83.26326326    0.00023248
   83.37337337    0.00023719
   83.48348348    0.00024199
   83.59359359    0.00024695
   83.70370370    0.00025213
   83.81381381    0.00025751
   83.92392392    0.00026298
   84.03403403    0.00026834
   84.14414414    0.00027333
   84.25425425    0.00027770
   84.36436436    0.00028131
   84.47447447    0.00028417
   84.58458458    0.00028650
   84.69469469    0.00028865
   84.80480480    0.00029102
   84.91491491    0.00029394
   85.02502503    0.00029758
   85.13513514    0.00030193
   85.24524525    0.00030674
   85.35535536    0.00031165
   85.46546547    0.00031621
   85.57557558    0.00031999
   85.68568569    0.00032273
   85.79579580    0.00032430
   85.90590591    0.00032474
   86.01601602    0.00032421
   86.12612613    0.00032295
   86.23623624    0.00032128
   86.34634635    0.00031954
   86.45645646    0.00031804
   86.56656657    0.00031700
   86.67667668    0.00031653
   86.78678679    0.00031662
   86.89689690    0.00031716
   87.00700701    0.00031801
   87.11711712    0.00031901
   87.22722723    0.00032007
   87.33733734    0.00032115
   87.44744745    0.00032227
   87.55755756    0.00032347
   87.66766767    0.00032486
   87.77777778    0.00032656
   87.88788789    0.00032871
   87.99799800    0.00033140
