# final state angular momentum:   2
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma_tot   sigma_up    sigma_down 
   16.88963211    0.00000061    0.00000024    0.00000037
   16.98996656    0.00000059    0.00000024    0.00000036
   17.09030100    0.00000057    0.00000023    0.00000034
   17.19063545    0.00000054    0.00000022    0.00000032
   17.29096990    0.00000051    0.00000021    0.00000030
   17.39130435    0.00000048    0.00000019    0.00000029
   17.49163880    0.00000045    0.00000018    0.00000027
   17.59197324    0.00000043    0.00000017    0.00000026
   17.69230769    0.00000040    0.00000016    0.00000024
   17.79264214    0.00000038    0.00000015    0.00000023
   17.89297659    0.00000037    0.00000014    0.00000022
   17.99331104    0.00000035    0.00000014    0.00000022
   18.09364548    0.00000034    0.00000013    0.00000021
   18.19397993    0.00000033    0.00000013    0.00000020
   18.29431438    0.00000032    0.00000012    0.00000020
   18.39464883    0.00000031    0.00000012    0.00000019
   18.49498328    0.00000031    0.00000012    0.00000019
   18.59531773    0.00000030    0.00000012    0.00000019
   18.69565217    0.00000030    0.00000011    0.00000018
   18.79598662    0.00000030    0.00000011    0.00000018
   18.89632107    0.00000029    0.00000011    0.00000018
   18.99665552    0.00000029    0.00000011    0.00000018
   19.09698997    0.00000029    0.00000011    0.00000018
   19.19732441    0.00000029    0.00000011    0.00000018
   19.29765886    0.00000030    0.00000012    0.00000018
   19.39799331    0.00000030    0.00000012    0.00000018
   19.49832776    0.00000030    0.00000012    0.00000018
   19.59866221    0.00000031    0.00000012    0.00000018
   19.69899666    0.00000031    0.00000013    0.00000019
   19.79933110    0.00000032    0.00000013    0.00000019
   19.89966555    0.00000033    0.00000014    0.00000020
   20.00000000    0.00000034    0.00000014    0.00000020
